form,tag,count
검,VA,64
따라오,VV,64
펴,VV,64
무,XPN,64
더라,EC,63
애,EF,63
이제,IC,63
하루하루,MAG,63
솔직히,MAG,63
변,NNG,63
고독,NNG,63
화장,NNG,63
진짜,NNG,63
열,NR,63
was,SL,63
every,SL,63
break,SL,63
cream,SL,63
ba,SL,63
려나,EC,62
아,MAG,62
지난,MM,62
사연,NNG,62
멋,NNG,62
맛,NNG,62
아쉬움,NNG,62
저녁,NNG,62
문제,NNG,62
백,NR,62
take,SL,62
up,SL,62
l,SL,62
please,SL,62
booty,SL,62
hip,SL,62
how,SL,62
ma,SL,62
궁금하,VA,62
부리,VV,62
거닐,VV,62
깨지,VV,62
밀려오,VV,62
괴롭히,VV,62
부딪히,VV,62
멀어지,VV,62
깨닫,VV,62
활짝,MAG,61
혹시나,MAG,61
맹세,NNG,61
정도,NNG,61
세계,NNG,61
위험,NNG,61
이곳,NP,61
ready,SL,61
c,SL,61
through,SL,61
pick,SL,61
소용없,VA,61
내버리,VV,61
싣,VV,61
택하,VV,61
되,XSA,61
은지,EC,60
어제,MAG,60
보다,MAG,60
키,NNG,60
촛불,NNG,60
특별,NNG,60
머릿속,NNG,60
always,SL,60
money,SL,60
if,SL,60
sky,SL,60
look,SL,60
luv,SL,60
어지럽,VA,60
안타깝,VA,60
쥐,VV,60
비키,VV,60
밟,VV,60
솔직,XR,60
짜릿,XR,60
ᆯ로,JKB,59
못다,MAG,59
며칠,NNG,59
키스,NNG,59
step,SL,59
beautiful,SL,59
ho,SL,59
hello,SL,59
lolli,SL,59
자라,VV,59
인하,VV,59
화려,XR,59
궁금,XR,59
라며,EC,58
꽉,MAG,58
짓,NNG,58
결혼,NNG,58
예,NNG,58
우울,NNG,58
고통,NNG,58
여행,NNG,58
소용,NNG,58
오,NNP,58
pain,SL,58
time,SL,58
talk,SL,58
really,SL,58
‘,SSO,58
부럽,VA,58
부시,VA,58
띄우,VV,58
얻,VV,58
내밀,VV,58
떨,VV,58
쟁이,XSN,58
마지막,MAG,57
여,MM,57
개,NNB,57
가로등,NNG,57
무지개,NNG,57
마리아,NNG,57
신경,NNG,57
랄라라,NNP,57
everybody,SL,57
really,SL,57
stop,SL,57
falling,SL,57
shake,SL,57
fly,SL,57
pop,SL,57
거칠,VA,57
밤새,VV,57
숙이,VV,57
깨어나,VV,57
붙,VV,57
허전,XR,57
원래,MAG,56
