word,type,count,language
im,Eng,126,en
까지도,Josa,126,kr
꽃잎,Noun,126,kr
길이,Noun,126,kr
타고,Noun,126,kr
용기,Noun,126,kr
포기,Noun,126,kr
욕심,Noun,126,kr
필요,Noun,126,kr
달려가다,Verb,126,kr
저,Determiner,125,kr
man,Eng,125,en
show,Eng,125,en
만,Noun,125,kr
꿈속,Noun,125,kr
라라,Noun,125,kr
간,Suffix,125,kr
high,Eng,124,en
파란,Noun,124,kr
고,Noun,124,kr
too,Eng,123,en
over,Eng,123,en
편지,Noun,123,kr
파,Noun,123,kr
한단,Noun,123,kr
연인,Noun,123,kr
입다,Verb,123,kr
숨기다,Verb,123,kr
곱다,Adjective,122,kr
이리,Adverb,122,kr
body,Eng,122,en
이고,Josa,122,kr
일이,Noun,122,kr
따윈,Noun,122,kr
기쁘다,Adjective,121,kr
party,Eng,121,en
정,Noun,121,kr
어차피,Noun,121,kr
이제야,Noun,121,kr
달래다,Verb,121,kr
인사,Noun,120,kr
엄마,Noun,120,kr
가도,Noun,120,kr
두운,Noun,120,kr
랄라라,Noun,119,kr
너무도,Adverb,118,kr
song,Eng,118,en
잘못,Noun,118,kr
날개,Noun,118,kr
이기다,Verb,118,kr
kiss,Eng,117,en
dream,Eng,117,en
막,Noun,117,kr
잔,Noun,117,kr
리,Noun,117,kr
땜,Noun,117,kr
쓸다,Verb,117,kr
break,Eng,116,en
은,Noun,116,kr
뭐라다,Verb,116,kr
던지다,Verb,116,kr
벗어나다,Verb,116,kr
붉다,Adjective,115,kr
fire,Eng,115,en
new,Eng,115,en
귀,Noun,115,kr
하나요,Noun,115,kr
반복,Noun,115,kr
방,Noun,115,kr
쌓이다,Verb,115,kr
꺼내다,Verb,115,kr
궁금하다,Adjective,114,kr
if,Eng,114,en
change,Eng,114,en
bo,Eng,114,en
평생,Noun,114,kr
생기다,Verb,114,kr
자유롭다,Adjective,113,kr
whats,Eng,113,en
문,Noun,113,kr
옛날,Noun,113,kr
지워지다,Verb,113,kr
어쩔,Adverb,112,kr
달이,Noun,112,kr
찬,Noun,112,kr
불어오다,Verb,112,kr
정말로,Adverb,111,kr
light,Eng,111,en
mr,Eng,110,en
peep,Eng,110,en
옷,Noun,110,kr
고민,Noun,110,kr
기다림,Noun,110,kr
영혼,Noun,110,kr
여기다,Verb,110,kr
따스하다,Adjective,109,kr
mind,Eng,109,en
lady,Eng,109,en
까지나,Josa,109,kr
밤하늘,Noun,109,kr
부탁,Noun,109,kr
지르다,Verb,109,kr
wait,Eng,108,en
step,Eng,108,en
감고,Noun,108,kr
문득,Noun,108,kr
만,Modifier,107,kr
거짓,Noun,107,kr
장난,Noun,107,kr
시선,Noun,107,kr
꺼지다,Verb,107,kr
모이다,Verb,107,kr
네,Determiner,106,kr
처럼,Noun,106,kr
밥,Noun,106,kr
선물,Noun,106,kr
장미,Noun,106,kr
진심,Noun,106,kr
끝내,Noun,106,kr
까맣다,Adjective,105,kr
불안하다,Adjective,105,kr
어디서,Adverb,105,kr
근데,Adverb,105,kr
dot,Eng,105,en
께,Josa,105,kr
취해,Noun,105,kr
깨우다,Verb,105,kr
흩어지다,Verb,105,kr
희미하다,Adjective,104,kr
답답하다,Adjective,104,kr
살며시,Adverb,104,kr
hand,Eng,104,en
believe,Eng,104,en
기대,Noun,104,kr
요즘,Noun,104,kr
뒷모습,Noun,104,kr
정신,Noun,104,kr
쏟아지다,Verb,104,kr
흔하다,Adjective,103,kr
이상하다,Adjective,103,kr
니,Modifier,103,kr
별빛,Noun,103,kr
감정,Noun,103,kr
허다,Verb,103,kr
막히다,Verb,103,kr
서럽다,Adjective,102,kr
better,Eng,102,en
이면,Noun,102,kr
말로,Noun,102,kr
hold,Eng,101,en
thats,Eng,101,en
girls,Eng,101,en
가요,Noun,101,kr
새벽,Noun,101,kr
걸리다,Verb,101,kr
넘치다,Adjective,100,kr
오랜,Adverb,100,kr
alright,Eng,100,en
에선,Josa,100,kr
찾아가다,Verb,100,kr
bang,Eng,99,en
ok,Eng,99,en
summer,Eng,99,en
hip,Eng,99,en
첫사랑,Noun,99,kr
땅,Noun,99,kr
기,Noun,99,kr
답,Noun,99,kr
외면,Noun,99,kr
훔치다,Verb,99,kr
갇히다,Verb,99,kr
넓다,Adjective,98,kr
착하다,Adjective,98,kr
이니까,Josa,98,kr
와의,Josa,98,kr
언,Modifier,98,kr
보,Noun,98,kr
다짐,Noun,98,kr
오르다,Verb,98,kr
외치다,Verb,98,kr
가만히,Adverb,97,kr
everyday,Eng,97,en
둘이서,Noun,97,kr
소녀,Noun,97,kr
누굴,Noun,97,kr
인연,Noun,97,kr
빗물,Noun,97,kr
하리,Noun,97,kr
현실,Noun,97,kr
한참,Noun,97,kr
비다,Verb,97,kr
삼키다,Verb,97,kr
물들다,Verb,97,kr
숨쉬다,Verb,97,kr
한없이,Adverb,96,kr
이라는,Josa,96,kr
만으로,Josa,96,kr
어느,Modifier,96,kr
쉬,Noun,96,kr
맘속,Noun,96,kr
뭔가,Noun,96,kr
드리다,Verb,96,kr
지나치다,Verb,96,kr
괴롭다,Adjective,95,kr
환하다,Adjective,95,kr
